trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-168.07341239380565,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-97.83258865631782,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",35,0,-170.18102170408227,"{0: 19, 1: 5, 2: 8, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-114.04080867639253,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-217.69112455351046,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-155.45592493273827,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-103.40720969804657,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-29.726556157734823,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,10,-19.518006198306317,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-153.6046787759113,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-58.17794013006902,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,2,-110.68132564391559,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 2}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,9,-2.028136854876389,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,7,-102.2768462717999,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 2}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",35,2,-171.22464997938178,"{0: 22, 1: 3, 2: 3, 3: 2, 4: 3}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-19.429059074623538,"{0: 22, 1: 1, 2: 0, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-76.74948041597041,"{0: 26, 1: 0, 2: 1, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-61.235399942150806,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,16,8.943931249861933,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-19.251168881145663,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",25,14,-41.522671751723536,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",30,1,28.735883991111375,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,11,-19.6007418035047,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",20,16,7.220738079990356,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,10,19.694768389834937,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,18,13.197653586856898,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,14,8.619013544808741,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,8,-78.73536012550896,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 2}",1
9,True,"{'a': 0, 'e': 0}",25,0,5.19093137770485,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,6,-94.59161908884786,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 2}",1
