trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-383.6880746065148,"{0: 12, 1: 4, 2: 6, 3: 0, 4: 8}",0
2,False,"{'a': 0.5, 'e': 0.9900498337491681}",25,0,-126.24229983198853,"{0: 12, 1: 0, 2: 12, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9801986733067553}",20,2,-58.757714736261235,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.9704455335485082}",20,0,-109.43892559074673,"{0: 13, 1: 1, 2: 2, 3: 3, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9607894391523232}",20,0,-98.34095731718942,"{0: 12, 1: 5, 2: 1, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.951229424500714}",25,0,-133.0605345033731,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9417645335842487}",25,0,-122.29060123297721,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9323938199059483}",30,0,-155.9148464621484,"{0: 19, 1: 1, 2: 7, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9231163463866358}",20,0,-243.60751696467784,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 6}",0
10,False,"{'a': 0.5, 'e': 0.9139311852712282}",20,0,-67.01018505545565,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.9048374180359595}",25,0,-129.49802269447363,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.8958341352965282}",20,0,-46.54515377376403,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.8869204367171575}",25,0,-163.83572523657415,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.8780954309205613}",30,0,-178.65444240616296,"{0: 15, 1: 7, 2: 4, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.8693582353988059}",20,0,-68.36014103294201,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8607079764250578}",20,0,-114.11013016732963,"{0: 10, 1: 6, 2: 2, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.8521437889662113}",25,0,-85.30789440389582,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.8436648165963837}",20,3,-20.060600241477573,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.835270211411272}",20,0,-60.20650749603633,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.8269591339433623}",35,0,-129.3352883194948,"{0: 22, 1: 4, 2: 7, 3: 1, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.8187307530779818}",25,8,-153.55679409811077,"{0: 9, 1: 0, 2: 5, 3: 0, 4: 3}",1
22,False,"{'a': 0.5, 'e': 0.8105842459701871}",30,0,-172.3832721315878,"{0: 17, 1: 3, 2: 6, 3: 2, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.8025187979624785}",30,0,-74.81377347573583,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.794533602503334}",20,0,-71.51684362788744,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.7866278610665535}",20,0,-50.720594401628254,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.7788007830714049}",20,3,-61.451939357303665,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.7710515858035663}",30,0,-196.9156877824123,"{0: 15, 1: 3, 2: 8, 3: 2, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.7633794943368531}",20,1,-87.77044599624679,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 2}",1
29,False,"{'a': 0.5, 'e': 0.7557837414557255}",25,12,-45.22175696252463,"{0: 7, 1: 3, 2: 2, 3: 1, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.7482635675785653}",30,0,-161.93407951482016,"{0: 20, 1: 3, 2: 3, 3: 1, 4: 3}",0
31,False,"{'a': 0.5, 'e': 0.7408182206817179}",30,0,-64.70125867445194,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.7334469562242892}",25,0,-94.56770167606689,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.7261490370736909}",20,7,-49.07320334917844,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 1}",1
34,False,"{'a': 0.5, 'e': 0.7189237334319262}",35,18,-20.72874500064828,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.7117703227626097}",25,11,3.1439476342614876,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.7046880897187134}",20,12,-30.834530992903943,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
37,False,"{'a': 0.5, 'e': 0.697676326071031}",25,8,-51.79841805823363,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 1}",1
38,False,"{'a': 0.5, 'e': 0.6907343306373547}",20,0,-64.37541024603331,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.6838614092123558}",20,0,-73.51666417798278,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.6770568744981647}",25,4,7.470135097175621,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.6703200460356393}",20,0,-131.69525773569387,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
42,False,"{'a': 0.5, 'e': 0.6636502501363194}",20,11,3.9209478042254102,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.6570468198150567}",20,0,-163.5632055510272,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
44,False,"{'a': 0.5, 'e': 0.6505090947233165}",20,12,-42.82682861793521,"{0: 4, 1: 0, 2: 3, 3: 1, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.6440364210831414}",20,0,-128.39064578511778,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
46,False,"{'a': 0.5, 'e': 0.6376281516217733}",30,0,-114.22879113287807,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.631283645506926}",20,0,-37.497515224093185,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.6250022682827008}",30,0,-153.03091500527702,"{0: 21, 1: 0, 2: 6, 3: 0, 4: 3}",0
49,False,"{'a': 0.5, 'e': 0.6187833918061408}",20,0,-7.796676701889411,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.6126263941844161}",20,0,-50.12129511887147,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.6065306597126334}",35,17,-70.7133940391561,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 1}",1
52,False,"{'a': 0.5, 'e': 0.6004955788122659}",25,2,-216.47080365683163,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 5}",1
